Project,Classification,Confidence,H (bits),Gini,Top 1%,N Contributors,Stars
BurntSushi/ripgrep,Stadium (Strong),95%,1.65,0.887,83.4%,100,"57,793"
babel/babel,Stadium (Likely),75%,3.88,0.851,36.0%,100,"43,813"
pandas-dev/pandas,Federation/Club,70%,4.63,0.77,17.9%,100,"47,228"
mafintosh/pump,Stadium (Likely),75%,0.76,0.767,89.0%,7,918
pallets/flask,Stadium (Likely),75%,3.31,0.864,39.7%,100,"70,864"
etcd-io/etcd,Hybrid/Uncertain,50%,4.14,0.832,21.9%,100,"50,886"
vitejs/vite,Stadium (Likely),75%,3.98,0.831,27.6%,100,"76,829"
benjaminp/six,Stadium (Strong),95%,2.12,0.856,73.3%,58,"1,018"
pnggroup/libpng,Stadium (Strong),95%,2.3,0.888,46.2%,85,"1,510"
neovim/neovim,Federation/Club,70%,4.68,0.772,18.6%,100,"94,666"
curl/curl,Stadium (Strong),95%,2.8,0.914,57.3%,100,"39,986"
psf/requests,Hybrid/Uncertain,50%,3.9,0.79,31.6%,100,"53,508"
envoyproxy/envoy,Federation/Club,70%,5.53,0.617,10.4%,100,"27,098"
rust-random/rand,Stadium (Likely),75%,3.75,0.827,37.7%,100,"1,941"
nodejs/node,Federation/Club,70%,5.59,0.614,9.1%,100,"114,498"
eslint/eslint,Federation/Club,70%,4.32,0.796,32.5%,100,"26,682"
yaml/pyyaml,Stadium (Likely),75%,2.78,0.798,54.2%,37,"2,810"
hashicorp/terraform,Federation/Club,70%,4.75,0.767,14.4%,100,"47,183"
pypa/pip,Federation/Club,70%,4.58,0.784,22.1%,100,"10,010"
dtolnay/thiserror,Stadium (Strong),95%,0.37,0.923,96.4%,20,"5,237"
sindresorhus/got,Stadium (Likely),75%,2.86,0.889,35.5%,100,"14,798"
openstack/nova,Federation/Club,70%,5.83,0.553,8.4%,100,"3,162"
debug-js/debug,Hybrid/Uncertain,50%,3.82,0.771,35.5%,100,"11,399"
uuidjs/uuid,Stadium (Strong),95%,2.48,0.846,42.6%,73,"15,159"
scikit-learn/scikit-learn,Federation/Club,70%,5.31,0.677,11.9%,100,"64,179"
eclipse-che/che,Federation/Club,70%,5.24,0.72,8.1%,100,"7,096"
rust-lang/rust,Federation/Club,70%,5.49,0.577,21.2%,100,"108,182"
vercel/ms,Federation/Club,70%,3.75,0.689,25.7%,40,"5,465"
sirupsen/logrus,Federation/Club,70%,4.08,0.763,38.3%,100,"25,590"
django/django,Federation/Club,70%,5.08,0.728,12.7%,100,"85,993"
lukeed/kleur,Stadium (Strong),95%,1.1,0.814,86.4%,16,"1,677"
helm/helm,Federation/Club,70%,4.62,0.766,18.6%,100,"29,121"
sqlite/sqlite,Unknown,0%,0.0,0.0,0.0%,0,"8,690"
nicotine-plus/nicotine-plus,Stadium (Strong),95%,1.82,0.954,73.8%,100,"2,496"
rack/rack,Federation/Club,70%,4.66,0.77,13.2%,100,"5,073"
fish-shell/fish-shell,Stadium (Likely),75%,3.65,0.875,23.2%,100,"31,749"
isaacs/inherits,Stadium (Likely),75%,0.81,0.671,87.1%,5,354
minimistjs/minimist,Stadium (Likely),75%,2.22,0.723,59.6%,17,643
jonschlinkert/is-number,Stadium (Likely),75%,0.25,0.632,96.5%,3,279
fatih/color,Stadium (Strong),95%,2.1,0.815,70.3%,37,"7,817"
mitchellh/mapstructure,Stadium (Likely),75%,2.08,0.798,76.6%,53,"8,047"
ansible/ansible,Federation/Club,70%,5.18,0.689,13.4%,100,"67,214"
tartley/colorama,Hybrid/Uncertain,50%,3.56,0.733,40.6%,46,"3,755"
vim/vim,Stadium (Strong),95%,1.93,0.924,76.7%,100,"39,366"
gin-gonic/gin,Federation/Club,70%,4.04,0.799,29.7%,100,"87,241"
fastapi/fastapi,Stadium (Strong),95%,3.2,0.819,59.5%,100,"92,571"
webpack/webpack,Stadium (Strong),95%,2.95,0.884,57.8%,100,"65,792"
